id,正文,原始图片url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,是否原创,原始用户id,原始用户昵称,原始微博id,原始微博正文,原始微博原始图片url,原始微博位置,原始微博日期,原始微博工具,原始微博点赞数,原始微博评论数,原始微博转发数,原始微博话题,原始微博@用户
4390710663048731,今天格局比昨天还清楚了，就算我早了点，指数再上去一次补了3050那里，我估计个股很多回不到那了，你的涨幅有人帮你涨掉了，只会更分裂，撕裂，直到完完，多点耐心找羊老师打牌去吧@Peter羊 ,,,2019-07-05 16:07,iPhone X(深空灰),240,52,36,,Peter羊,True
4390708363925102,最近五粮的融资估计飙了 ,,,2019-07-05 15:07,iPhone X(深空灰),138,19,4,,,True
4390705378306971,昨天有个瞬，今天有个凯，都是刚的一B找死的 ,,,2019-07-05 15:07,iPhone X(深空灰),115,26,2,,,True
4390697182878355,那是自然//@摩尔金融:白是指白酒吗,,,2019-07-05 15:07,iPhone X(深空灰),105,20,2,,摩尔金融,False,2983904317,腾腾爸,4390690920242903,俗语讲：一白遮百丑。这两天我在想：如果银行股涨起来，估值达到20倍，大家会不会又认为银行是世界上最好的行业呢？ ,,,2019-07-05 14:07,HUAWEI P30 Pro,56,28,10,,
4390696864099064,灭掉全部人以后，就是灭自己了,,,2019-07-05 15:07,iPhone X(深空灰),136,20,9,,,False,1922275800,William_D_Gann,4390696423013870,看下来，纸上富贵的很多。隔天全变。哎~仅剩白马了。弹性大多都是狗！ ,,,2019-07-05 15:07,微博 weibo.com,67,3,13,,
4390691003922137,回复@牛爸炒股:我乐观是觉得调整也是整体就是一部分，只是不健康的结构，拉长了时间，并不认为会回熊市//@牛爸炒股:奶妈的乐观是 觉得不可能那么流畅跌下去吧 还要反复//@Kevinqin008:我没有悲观，只是等待//@道士与骑士:别太悲观，柱子哥，跌了也是牛市里的调整，,,,2019-07-05 14:07,iPhone X(深空灰),91,9,7,,"牛爸炒股,牛爸炒股,Kevinqin008,道士与骑士",False,2044627723,小方大板,4390672700613859,几百点很难跌吗？不说远了，4月底到5月初，不就是半个月时间跌了400点。现在3000点，随随便便跌400点就2600了，半个月时间足够了。 ,,,2019-07-05 13:07,一会满送的iPhone X,50,16,38,,
4390689528343513,让我比较，五粮液和去年122太类似了，希望我是错的，不过这情况必须看明白再弄，怂 ,,,2019-07-05 14:07,iPhone X(深空灰),154,30,7,,,True
4390686478183982,弹性都别人的，ETC有可惜，可以多做一周的，没啥，我看戏 ,,,2019-07-05 14:07,iPhone X(深空灰),132,22,2,,,True
4390683517898523,我没生气你有什么好生气的,,,2019-07-05 14:07,iPhone X(深空灰),109,13,2,,,False,1669616825,程老湿爱吐槽,4390683097624309,不会吧？又板一个？我生气了  ,,,2019-07-05 14:07,微博 weibo.com,123,20,5,,
4390676370203452,我没有悲观，只是等待//@道士与骑士:别太悲观，柱子哥，跌了也是牛市里的调整，//@Kevinqin008:我可却没那么乐观，不过按目前情况，2800还是有可能的，具体要看市场了。太低也不可能了，定价权不在个股，在权重,,,2019-07-05 13:07,iPhone X(深空灰),106,38,13,,"道士与骑士,Kevinqin008",False,2044627723,小方大板,4390672700613859,几百点很难跌吗？不说远了，4月底到5月初，不就是半个月时间跌了400点。现在3000点，随随便便跌400点就2600了，半个月时间足够了。 ,,,2019-07-05 13:07,一会满送的iPhone X,50,16,38,,
4390675719696232,回复@Manba要幸福:我还算变得快的？一口血喷出来，你去看李大霄吧//@Manba要幸福:变得真快，前两周做节目还是多头，今年谁跟随这个节奏基本不赚钱。//@Kevinqin008:我可却没那么乐观，不过按目前情况，2800还是有可能的，具体要看市场了。太低也不可能了，定价权不在个股，在权重,,,2019-07-05 13:07,iPhone X(深空灰),97,18,5,,"Manba要幸福,Manba要幸福,Kevinqin008",False,2044627723,小方大板,4390672700613859,几百点很难跌吗？不说远了，4月底到5月初，不就是半个月时间跌了400点。现在3000点，随随便便跌400点就2600了，半个月时间足够了。 ,,,2019-07-05 13:07,一会满送的iPhone X,50,16,38,,
4390675535962611,回复@江口车:你怎么知道谁愚蠢？短线来说，也许现在买消费是正确的，愚蠢也未必会亏钱，关键不是你愚蠢与否，是和你一样愚蠢的人够不够多。聪明未必会赚钱，愚蠢的人可以在你正确到来以前干掉你,,,2019-07-05 13:07,iPhone X(深空灰),125,12,8,,江口车,False,5705221157,Kevinqin008,4390639225088772,果然按照最烂走法，五粮液领导人民前进吧，你们玩，我划水，吓的其他也不敢做啊，资金都吸过去了。 ,,,2019-07-05 11:07,iPhone X(深空灰),182,47,32,,
4390674331988717,说明程老湿卖出期权再次发挥作用了,,,2019-07-05 13:07,iPhone X(深空灰),105,6,2,,,False,1669616825,程老湿爱吐槽,4390648716743242,行情这么差，我还能卖飞涨停，说明（   ）  ,,,2019-07-05 11:07,微博 weibo.com,189,109,7,,
4390673950326628,我可却没那么乐观，不过按目前情况，2800还是有可能的，具体要看市场了。太低也不可能了，定价权不在个股，在权重,,,2019-07-05 13:07,iPhone X(深空灰),101,20,30,,,False,2044627723,小方大板,4390672700613859,几百点很难跌吗？不说远了，4月底到5月初，不就是半个月时间跌了400点。现在3000点，随随便便跌400点就2600了，半个月时间足够了。 ,,,2019-07-05 13:07,一会满送的iPhone X,50,16,38,,
4390673475981698,回复@江口车:我们经常说的资金，是主动型资金，也就是在买卖时候去主动定价的一方。//@江口车:奶妈帮忙解释下:有多少资金进消费就有多少资金出来啊？没存在吸走这个说法吧？谢谢,,,2019-07-05 13:07,iPhone X(深空灰),86,6,12,,"江口车,江口车",False,5705221157,Kevinqin008,4390639225088772,果然按照最烂走法，五粮液领导人民前进吧，你们玩，我划水，吓的其他也不敢做啊，资金都吸过去了。 ,,,2019-07-05 11:07,iPhone X(深空灰),182,47,32,,
4390666685396619,那批基金接个屁、人家就打新,,,2019-07-05 13:07,iPhone X(深空灰),100,30,15,,,False,1922275800,William_D_Gann,4390665595013312,这就已经开始改了。科创板出来 第一波，就靠发行的那批基金接 和 柚子买弹性推了。后面大扩容后，这样发的速度，和注册速度。就看快慢了。快，跪，连带主板。慢，轮质量，慢性自杀。第一批估计30家左右。科创板一出，生态必然改变。大的变，影响很多资金流动。 ,https://wx2.sinaimg.cn/large/729399d8gy1g4otxh1jn6j20n705rt9h.jpg,,2019-07-05 13:07,微博 weibo.com,80,13,26,,
4390665653600059,,,,2019-07-05 13:07,iPhone X(深空灰),80,30,52,,,False,5833359023,填鸭式教育受害者,4390658699467486,你好骚啊…… 填鸭式教育受害者的微博视频 ,,,2019-07-05 12:07,iPhone客户端,174,142,172,,
4390665095501771,所以才需要执法记录仪,,,2019-07-05 12:07,iPhone X(深空灰),71,13,7,,,False,5833359023,填鸭式教育受害者,4390663573499960,傻逼玩意儿…… 填鸭式教育受害者的秒拍视频 ,,,2019-07-05 12:07,iPhone客户端,105,144,34,,
